distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
0.38,1.61,0.97,1,1,1,0,0
0.45,1.23,2.07,0,0,1,0,0
13.35,8.29,0.13,1,1,0,0,0
6.16,0.49,0.48,1,1,1,1,0
54.24,2.38,2.25,1,1,1,0,0
0.7,1.29,1.23,0,0,0,0,0
6.81,2.31,0.92,1,1,1,1,0
19.59,0.89,1.58,1,1,1,1,0
22.44,1.3,0.23,1,0,0,1,0
5.67,5.33,1.64,1,1,0,0,0
4.57,4.39,3.6,1,0,1,0,0
66.45,3.96,14.49,1,0,0,1,1
152.26,1.33,15.39,0,1,0,1,1
2.95,12.19,3.5,1,1,1,0,0
11.63,7.54,2.17,0,0,0,1,0
26.73,1.84,0.33,1,1,0,0,0
15.21,2.38,22.83,0,0,0,1,1
5.6,26.64,2.63,1,1,0,0,0
13.31,1.31,0.96,0,1,0,1,0
1.1,1.36,2.71,1,0,1,0,0
23.03,8.24,0.84,0,1,0,0,0
16.78,20.73,0.48,1,0,1,0,0
8.93,2.74,1.19,1,1,0,1,0
0.78,36.2,3.36,1,1,1,0,0
3.61,2.56,0.33,1,1,0,1,0
8.25,15.77,3.98,1,1,0,0,0
12.98,3.91,3.02,0,1,1,1,0
48.58,0.42,0.82,1,1,0,0,0
4.24,4.51,2.52,1,1,1,1,0
18.89,1.36,1.64,1,0,0,1,0
199.77,0.37,23.87,1,1,0,1,1
18.24,4.73,3.95,1,0,1,0,0
41.94,0.72,0.55,0,1,0,1,0
3.41,5.03,1.13,1,1,1,0,0
4.86,0.02,3.11,1,0,1,0,0
0.15,0.39,3.54,1,1,1,0,0
96.24,88.86,11.57,0,0,0,1,1
14.54,0.84,3.73,1,1,1,1,0
99.83,89.13,12.54,1,0,0,1,1
25.44,3.08,1.29,1,0,0,0,0
29.97,17.04,1.19,1,0,1,0,0
1.84,17.6,0.8,1,0,0,0,0
5.65,4.66,2.09,1,1,0,1,0
130.77,3.71,9.19,1,0,0,1,1
5.36,1.85,1.69,1,0,0,0,0
16.97,11.66,2.5,1,1,0,0,0
13.01,5.32,1.91,1,0,0,1,0
2.79,0.44,2.11,1,0,1,1,0
3.82,1.11,0.2,1,1,1,0,0
14.9,1.08,2.82,1,0,1,0,0
22.05,0.56,1.76,0,1,1,0,0
28.29,3.05,3.23,1,1,1,1,0
14.23,6.35,2.07,1,1,1,1,0
4.5,1.42,2.59,1,1,1,0,0
90.76,2.7,19.8,1,0,0,1,1
3.48,2.72,3.63,1,1,1,1,0
0.09,2.17,3.04,1,1,0,1,0
13.87,1.25,0.96,1,0,0,1,0
2.71,3.15,0.6,1,0,0,0,0
70.35,0.25,13.56,1,0,0,1,1
1.28,0.1,2.2,1,0,1,1,0
21.05,14.94,0.88,0,0,0,1,0
3.69,6.01,3.09,0,1,1,0,0
50.17,0.57,0.2,1,1,1,0,0
1.19,5.87,2.55,0,1,1,1,0
167.4,49.65,13.8,1,1,0,1,1
26.47,6.14,1.8,1,1,0,1,0
9.91,2.86,2.95,1,1,1,0,0
4.19,3.12,2.48,1,0,1,0,0
23.98,2.08,3.53,1,0,0,1,0
123.29,71.67,21.48,0,0,0,1,1
9.62,3.78,1.76,1,0,1,0,0
1.93,1.07,0.57,1,1,0,0,0
19.34,18.78,2.15,1,0,0,0,0
0.21,3.82,1.17,1,1,1,0,0
10.13,10.31,2.34,1,1,0,0,0
9.74,8.63,1.66,0,1,0,0,0
5.43,25.51,0.56,1,1,1,0,0
8.98,2.92,3.45,1,0,1,1,0
44.23,1.16,0.92,1,0,0,0,0
9.01,76.56,15.72,1,1,0,1,1
40.7,2.77,2.22,1,1,1,0,0
5.51,6.91,2.32,1,0,1,1,0
10.41,3.4,0.41,0,1,0,0,0
175.39,99.97,12.58,0,0,0,1,1
3.0,4.4,2.58,1,0,0,0,0
29.25,2.0,2.81,1,1,1,0,0
5.66,1.95,3.88,1,1,1,1,0
8.0,1.04,1.51,1,1,1,0,0
39.4,2.88,2.82,0,1,1,0,0
12.01,4.02,0.46,1,1,0,0,0
10.35,6.3,2.08,1,1,1,0,0
7.26,12.75,2.08,1,1,0,1,0
40.83,3.54,3.3,1,0,1,1,0
2.41,3.87,1.45,1,1,0,0,0
17.94,4.24,1.01,1,0,1,1,0
7.32,5.45,3.3,1,1,0,0,0
30.57,10.36,1.82,1,1,1,0,0
2.51,3.17,3.88,1,1,1,1,0
29.42,2.39,1.33,1,1,1,0,0
188.14,3.73,18.77,1,0,0,1,1
94.01,62.49,21.47,0,0,0,1,1
36.6,0.77,1.9,1,0,0,1,0
16.98,0.86,1.82,1,1,1,0,0
27.99,1.11,1.6,1,0,1,0,0
5.25,19.07,2.67,1,1,1,1,0
124.51,83.91,13.99,1,0,0,1,1
27.33,4.95,3.62,1,0,0,0,0
1.42,1.75,3.02,0,0,1,1,0
36.71,8.87,1.1,1,1,1,1,0
1.84,16.47,0.65,1,1,1,1,0
24.49,2.28,3.18,0,1,0,1,0
13.18,8.64,3.77,0,0,0,1,0
37.02,1.25,0.35,1,1,0,0,0
95.65,0.49,15.71,1,0,0,1,1
2.52,2.68,0.49,1,1,1,0,0
8.79,15.03,3.44,0,1,1,1,0
7.62,1.05,0.58,1,1,1,1,0
0.32,7.73,1.05,0,1,0,1,0
3.65,10.19,1.38,0,1,0,1,0
2.6,3.31,21.43,0,0,0,0,1
11.2,6.85,1.96,1,1,0,0,0
0.67,7.64,3.48,1,1,1,0,0
7.7,5.79,2.01,1,0,0,1,0
144.96,99.57,15.71,1,0,0,1,1
21.98,6.38,0.94,1,0,0,0,0
1.5,2.78,2.69,1,0,1,0,0
1.47,0.51,2.98,1,1,1,0,0
1.96,2.18,2.69,1,1,1,1,0
6.5,4.31,0.93,1,0,0,1,0
21.57,4.27,3.25,1,1,1,1,0
0.4,13.23,3.33,1,0,1,0,0
0.09,10.2,2.31,1,0,1,0,0
3.63,2.72,1.43,1,1,1,0,0
73.61,41.77,16.26,0,0,0,1,1
5.0,5.67,2.0,1,0,0,0,0
6.03,1.28,20.7,0,0,0,1,1
24.61,0.37,3.46,0,0,1,1,0
12.78,6.18,1.73,0,0,0,1,0
26.76,12.61,0.44,1,0,1,0,0
5.57,2.07,1.4,0,1,0,0,0
6.45,6.5,3.29,1,0,0,0,0
21.42,5.33,0.79,1,1,1,1,0
38.69,4.16,2.58,1,1,1,0,0
8.84,0.28,15.68,0,1,0,1,1
14.32,3.54,1.9,1,1,1,0,0
15.83,1.94,1.95,0,0,0,1,0
18.79,3.51,0.77,1,1,0,0,0
7.0,1.66,1.69,1,1,1,1,0
1.89,72.53,22.85,0,0,0,1,1
17.98,2.49,2.42,1,0,0,1,0
16.64,8.83,2.98,1,1,1,0,0
6.76,0.99,0.94,1,1,0,0,0
65.17,4.18,13.72,1,0,0,1,1
22.12,8.28,0.75,1,1,1,0,0
5.03,6.9,1.85,1,0,1,0,0
6.88,14.7,3.94,1,0,0,0,0
25.47,8.08,0.64,1,1,1,0,0
